username,profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
p_y_x_x_x,True,True,7425,805,0.1084029086991651,22,False,False,True,False,0,62.18181818181818,121.0,23.0,31.555901061051827,995.7748917748918,0.6561409558214495,2.0,19.0,0.0,4.08248290463863,16.666666666666668,3.4813328100184258,258506.0,5033772.0,11.0,1096806.8703584054,1202985310865.4,4.21590093714065,False
anastasia_kasatkina_,True,True,743,3430,4.610215053763442,587,False,False,True,False,5,122.52,407.0,61.0,74.82374845818228,5598.593333333334,2.3117931919620367,11.68,95.0,1.0,18.838612829328312,354.89333333333326,3.6972301842630824,155773.91666666663,655853.0,53.0,178325.2632417898,31799899510.253624,1.5677580033026308,False
vova_dymohod_club,True,True,969,217,0.2237113402061856,28,False,False,True,False,2,14.4,33.0,2.0,8.149642118931768,66.41666666666667,0.7163381220076736,1.52,12.0,0.0,2.8154336551704904,7.926666666666668,2.402329552867604,171325.70833333337,2466635.0,483.0,499977.52289421257,249977523399.4329,4.281744129976843,False
pagefankaleusantos2,True,False,6953,48,0.006902502157031924,6,False,False,False,False,0,1.8333333333333333,8.0,0.0,3.0605010483034745,9.366666666666667,1.6847760466383448,0.16666666666666666,1.0,0.0,0.40824829046386296,0.16666666666666669,1.7888543819998313,15.6,19.0,12.0,2.7018512172212596,7.3,-0.12244032324528145,False
sardarmehsud,True,False,6897,67,0.009712960278341549,10,False,False,False,False,0,5.4,10.0,1.0,2.6749870196985173,7.155555555555557,-0.04846144734016865,0.2,1.0,0.0,0.421637021355784,0.1777777777777778,1.4999999999999996,500836.33333333326,1312264.0,6.0,517772.81832744955,268088691398.75006,0.2644082976305871,False
kat_rok_362,True,False,256,287,1.1167315175097277,198,False,False,True,False,7,62.8,109.0,32.0,19.289461717044706,372.08333333333326,0.2273161451093291,0.72,2.0,0.0,0.7371114795831993,0.5433333333333333,0.4780768265642627,572563.2083333335,1656660.0,5288.0,451455.95883146,203812482764.43292,0.8362266128337515,False
korea_shops_,True,True,5899,896,0.151864406779661,86,False,False,True,False,5,39.16,468.0,3.0,91.44610434567457,8362.390000000001,4.373937362370654,0.44,5.0,0.0,1.083205120618128,1.1733333333333331,3.2689782888152337,14154.0,222235.0,19.0,49989.29090793608,2498929205.478261,3.5304943010718577,False
seguidoreswpp,False,False,6594,66,0.010007581501137224,9,False,False,False,False,0,6.111111111111112,11.0,0.0,2.976761849915292,8.861111111111109,-0.5058632768224001,0.4444444444444444,1.0,0.0,0.5270462766947299,0.2777777777777778,0.22360679774997907,1504611.25,9169565.0,9.0,3117878.627217632,9721167134060.5,2.2074637723602955,False
moda_dlya_tebya,True,True,7341,4753,0.6473712884772541,2677,False,False,False,False,4,1.32,6.0,0.0,1.345362404707371,1.81,1.7023296818274425,0.08,2.0,0.0,0.4,0.16,4.694855340334422,28153.79166666667,361564.0,29.0,81694.21469324504,6673944714.346014,3.2695753634796776,False
chumachenko_shmot,True,True,340,64,0.187683284457478,18,False,False,True,False,1,7.8,12.0,5.0,2.309401076758503,5.333333333333333,0.3107402847011197,0.0,0.0,0.0,0.0,0.0,0.0,112426.95833333331,632615.0,114.0,203774.47937332038,41524038443.86776,1.6740919628120636,False
ethandolan190,True,True,6859,82,0.0119533527696793,7,False,False,False,False,0,8.142857142857142,24.0,3.0,7.625146368618581,58.14285714285714,1.4964782144978614,0.7142857142857143,4.0,0.0,1.4960264830861911,2.2380952380952377,1.810473464177669,52052.83333333334,312159.0,25.0,127425.47766976064,16237252359.366663,1.7888543685549068,False
neon__36,True,True,5073,1037,0.20437524635396134,17,False,False,True,False,3,20.823529411764707,30.0,7.0,7.384403277496826,54.529411764705884,-0.7233254930947037,0.17647058823529413,2.0,0.0,0.5285941398709244,0.2794117647058824,2.8526035329958,263354.1875,1902790.0,2042.0,479968.4082929096,230369672959.2292,2.727749686562207,False
bantik_belarus_,True,True,6323,798,0.12618595825426945,100,False,False,False,False,1,25.68,73.0,8.0,13.139381010281014,172.64333333333335,2.0291318817710904,1.12,6.0,0.0,1.8556220879622372,3.4433333333333334,1.6186745587593565,491601.29166666674,5312051.0,99.0,1236447.8996821106,1528803408628.3025,2.9877941479953143,False
obninskfotolike,True,False,3461,2077,0.5999422299248989,85,False,False,True,False,0,214.68,367.0,99.0,69.0209629991739,4763.893333333333,0.13105321485331273,2.0,12.0,0.0,2.972092416687835,8.833333333333334,1.8271546713929383,152924.45833333337,652329.0,20743.0,135543.45969915178,18372029467.21558,2.1988884443469683,False
taro.skaz,True,True,6918,10817,1.563376210435034,329,False,False,True,False,7,36.24,125.0,12.0,26.150653274185462,683.8566666666667,1.7669152830080916,14.08,161.0,1.0,34.19785568326373,1169.4933333333333,3.5846662408354706,319636.04166666674,1542800.0,62698.0,355544.0770371735,126411590716.21558,2.020222135043804,False
ihnxdzxhhn,True,True,2978,253,0.08492782813024505,37,False,False,False,False,0,8.28,41.0,2.0,9.423021454572485,88.79333333333332,2.3916691086085944,0.0,0.0,0.0,0.0,0.0,0.0,27878.16666666667,280154.0,8196.0,53836.84353324579,2898405721.623189,4.558690123235712,False
nadejdashar,True,False,1097,786,0.7158469945355191,247,False,False,False,False,0,60.04,149.0,27.0,26.19077445717608,685.9566666666667,1.5071207412658931,0.8,6.0,0.0,1.3228756555322954,1.7500000000000002,2.5790702779378214,155708.20833333337,1071997.0,1573.0,225148.50783465587,50691850580.1721,3.0866682738223283,False
eshmatovdierbek,True,False,4440,118,0.026570592208961942,14,False,False,False,False,0,12.0,25.0,7.0,4.260733053577302,18.153846153846157,2.0991668625214466,0.21428571428571427,3.0,0.0,0.8017837257372731,0.6428571428571428,3.3282011773513758,1403319.923076923,7344265.0,73.0,2395726.3395834835,5739504694174.077,1.5383078419614855,False
radzhabsham,True,False,426,135,0.3161592505854801,3,False,False,False,False,0,16.666666666666668,21.0,14.0,3.7859388972001824,14.333333333333336,0.6520121170440452,1.0,3.0,0.0,1.7320508075688772,3.0,0.7071067811865475,359235.5,607791.0,110680.0,351510.55910242576,123559673160.5,0.0,False
