profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
True,True,809,9133,11.289245982694684,179,False,False,True,False,3,376.48,718.0,188.0,133.70213162100296,17876.26,0.6990184994471155,6.0,17.0,0.0,4.949747468305833,24.5,0.7911213601140644,680588.9166666666,4521562.0,79384.0,940447.7575680047,884441984714.6885,3.023163005682534,True
True,True,2342,985,0.42058070025619126,252,False,False,False,False,2,92.6,160.0,22.0,26.318561257535844,692.6666666666666,-0.23163568217961464,3.92,18.0,0.0,4.261455150532504,18.16,2.0577209467918562,316715.75,1100313.0,86984.0,270962.77454200236,73420825187.5,1.6786744416076262,True
True,False,335,507,1.5134328358208955,271,False,False,False,False,3,73.64,116.0,38.0,18.542473765205475,343.8233333333333,-0.22152264021752946,1.96,5.0,0.0,1.7435595774162693,3.04,0.20664964905211228,1326090.9166666667,5707897.0,113533.0,1450721.0556197613,2104591581218.5144,2.070774316619477,True
True,False,82,102,1.2439024390243902,14,False,False,False,False,0,12.571428571428571,21.0,5.0,5.214097542893994,27.186813186813186,0.0875730400435676,1.7857142857142858,9.0,0.0,2.6941124249447643,7.258241758241759,1.5341008258301891,557141.0769230769,2561698.0,50539.0,692672.5854368308,479795310615.7436,2.0185458360373887,True
True,False,355,272,0.7661971830985915,113,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,3671,4325,1.1781530918005994,44,False,False,False,False,0,544.48,1032.0,255.0,243.4197540600735,59253.176666666666,0.7221269520654089,3.16,10.0,0.0,2.7030846576951055,7.306666666666667,0.8994239728698444,1633838.0833333333,6769430.0,74012.0,2172441.7124893866,4719502994163.819,1.327059430845278,True
True,True,400,501756,1254.39,2362,False,True,False,False,32,5872.76,25662.0,790.0,5148.898420050642,26511154.939999998,2.4066028889773827,122.2,626.0,5.0,175.25552773022596,30714.5,1.829626425141298,200823.08333333334,501696.0,22739.0,158284.7530287869,25054063041.384056,0.7624957501142887,True
True,True,678,1903,2.8067846607669615,26,False,False,True,False,3,254.08,401.0,137.0,65.22583843845933,4254.41,0.07291905111574958,3.28,11.0,0.0,3.409789827345179,11.626666666666667,0.8238802656472564,4453515.041666667,28154577.0,121929.0,6232140.040633271,38839569486064.48,2.602703834037084,True
True,True,34,2784,81.88235294117646,11,False,False,True,False,0,1304.3636363636363,8325.0,90.0,2731.574061698759,7461496.854545455,1.9412611587897546,12.272727272727273,76.0,1.0,21.462017188935942,460.6181818181818,2.6918861526814695,5023698.5,7859476.0,80092.0,2856313.3873973223,8158526167025.167,-0.39597415031884736,True
True,True,6835,19488,2.8512070226773956,1409,False,False,True,False,4,,,,,,,,,,,,,,,,,,,True
True,False,352,70422,200.0625,108,False,True,False,False,5,6478.68,13228.0,2449.0,3249.531013854153,10559451.81,0.5442460162532154,244.88,761.0,60.0,150.67412960868012,22702.693333333333,1.567355303878466,3136367.3333333335,15002427.0,91199.0,3335322.7696421994,11124377977693.71,2.008311913353607,True
True,True,554,980,1.7689530685920578,2092,False,False,True,False,1,101.84,236.0,65.0,37.06827034900154,1374.0566666666666,2.051041642175781,3.2,6.0,1.0,1.4433756729740645,2.0833333333333335,0.3224406922210651,151150.375,428663.0,68459.0,106020.38322757953,11240321659.722826,1.6167101679603884,True
True,True,1890,1791,0.9476190476190476,524,False,False,False,False,0,188.12,306.0,104.0,47.961199595784365,2300.2766666666666,0.5893126947065478,2.28,7.0,0.0,2.3720595832876263,5.626666666666667,0.8635228925332719,371884.4166666667,1736327.0,85053.0,358630.365521978,128615739074.42754,2.567597827607064,True
True,False,737,451,0.6119402985074627,85,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,False,569,341,0.5992970123022847,181,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,510,1224,2.4,15,False,False,True,False,8,,,,,,,,,,,,,,,,,,,True
True,True,1350,1645,1.2185185185185186,209,False,False,True,False,4,110.6,238.0,29.0,58.5064099052403,3423.0,0.48844998214976537,3.8,15.0,0.0,3.840572873934304,14.75,1.0026319082082928,3265834.4583333335,9154227.0,168.0,2551479.039616331,6510045289601.476,0.6952945708022658,True
True,False,56,132354,2363.464285714286,386,False,False,True,False,0,10317.96,21085.0,4169.0,3739.9361679044737,13987122.54,0.7979391555862627,30.04,141.0,6.0,26.322487217839683,692.8733333333334,3.146178168876704,79476.625,152553.0,17759.0,35434.03063724316,1255570527.201087,0.10358403870392058,True
True,False,141,177,1.2553191489361701,20,False,False,True,False,1,22.7,42.0,10.0,8.814461801046349,77.69473684210526,0.6375051044346395,0.85,4.0,0.0,1.1367080817685316,1.2921052631578946,1.4013082448003797,4448207.421052632,18673066.0,27314.0,5437983.128975937,29571660511026.926,1.8164584562845978,True
True,False,500,100,0.2,330,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,2199,41773,18.996361982719417,2181,False,False,False,False,23,489.68,799.0,182.0,165.34678708701904,27339.56,0.020099774010416828,17.16,33.0,7.0,8.055432949258531,64.89,0.5813954951200784,72153.04166666667,319647.0,14764.0,62604.881194943344,3919371149.4329705,2.6762362573088905,True
True,True,508,1632,3.2125984251968505,317,False,False,False,False,0,103.2,277.0,42.0,56.29757247578857,3169.416666666667,1.5721699579980786,1.32,12.0,0.0,2.68824602048746,7.226666666666667,3.0135514148749465,223344.875,1473257.0,16628.0,290272.4961441685,84258122017.76631,3.5118674293202625,True
True,True,42,7963,189.5952380952381,65,False,False,True,False,5,233.36,582.0,120.0,106.4897804173402,11340.073333333334,1.8918414925950702,4.92,34.0,0.0,6.96969631093541,48.57666666666666,3.1436522768755113,1008389.3333333334,3486693.0,5672.0,854411.3673786164,730018784705.797,1.061507242102726,True
True,True,543,544,1.0018416206261511,38,False,False,False,False,7,58.56,139.0,14.0,40.120734456554175,1609.6733333333334,0.8174231197435791,2.04,18.0,0.0,4.117847334065053,16.956666666666667,2.8576927070184435,3496424.4166666665,16229623.0,51746.0,4090685.724855207,16733709699534.168,1.5880693504155639,True
True,False,273,312,1.1428571428571428,43,False,False,False,False,2,60.96,90.0,27.0,17.922239443402898,321.20666666666665,-0.050882051372650054,2.8,7.0,0.0,2.101586702153082,4.416666666666667,0.2419051581719982,2657824.5,18977294.0,143870.0,3914912.872267619,15326542797446.695,3.234159190490383,True
True,True,673,440,0.6537890044576523,305,False,False,True,False,5,,,,,,,,,,,,,,,,,,,True
True,True,884,4710,5.328054298642534,1059,False,False,False,False,3,,,,,,,,,,,,,,,,,,,True
True,False,405,293,0.7234567901234568,17,False,False,False,False,0,45.64705882352941,69.0,28.0,12.917726079261145,166.86764705882354,0.376629885220411,1.8235294117647058,8.0,0.0,2.242635004789206,5.029411764705882,1.3919261997316452,5129948.3125,20032595.0,388245.0,5364755.668562446,28780603383372.895,1.66106321769412,True
True,True,467,480,1.0278372591006424,53,False,False,True,False,0,80.08,120.0,45.0,21.656253908128555,468.99333333333334,0.19964706722007902,1.84,6.0,0.0,1.841195263952197,3.39,0.9753505259887087,1686965.0416666667,6098965.0,76118.0,2017917.2151242322,4071989887094.737,1.1767803731232453,True
True,True,540,810,1.5,134,False,False,True,False,0,79.56,264.0,33.0,44.9389215120553,2019.5066666666667,2.800835340006079,4.2,26.0,0.0,5.307227776030219,28.166666666666668,2.864474283113336,1768209.7916666667,4992425.0,134553.0,1294291.934325818,1675191611260.8677,0.6144143375653035,True
True,True,559,520,0.9302325581395349,51,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,331,40454,122.21752265861028,242,False,False,True,False,4,1617.32,2612.0,786.0,459.6887280178476,211313.72666666668,0.3748169565804505,49.56,101.0,23.0,21.550483366582135,464.42333333333335,0.8228273204771431,641482.0416666666,4040818.0,89925.0,807228.3761695069,651617651293.259,3.3585464168130623,True
True,True,1687,4019,2.3823355068168346,2627,False,False,True,False,53,,,,,,,,,,,,,,,,,,,True
True,True,272,857,3.150735294117647,42,False,False,False,False,3,,,,,,,,,,,,,,,,,,,True
True,True,584,1682,2.8801369863013697,987,False,False,True,False,26,114.16,205.0,55.0,40.21471538297062,1617.2233333333334,0.8603502974612084,1.6,4.0,0.0,1.4142135623730951,2.0,0.46909709371657077,535375.5833333334,1657943.0,66394.0,467763.8541649089,218803023263.21014,0.9127608982521711,True
True,True,506,1326999,2622.5276679841895,376,False,True,True,False,14,64808.2,153484.0,14512.0,35533.98126090011,1262663824.25,0.36786413297074116,163.04,516.0,64.0,111.29970050873153,12387.623333333335,1.916293874461522,97266.875,196706.0,13448.0,63290.9726568747,4005747219.853261,0.23162791152734713,True
True,True,591,741,1.2538071065989849,402,False,False,False,False,11,50.72,89.0,17.0,17.551163304275114,308.04333333333335,-0.15555372277005522,1.48,7.0,0.0,2.256841450641434,5.093333333333333,1.358513689154471,449737.0833333333,1363463.0,53143.0,342639.14031883096,117401580478.42755,0.8947374307978313,True
True,False,333,325,0.975975975975976,107,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,1709,563,0.32943241661790523,110,False,False,False,False,10,29.16,50.0,15.0,9.732591295915663,94.72333333333333,0.5532024595632749,1.4,5.0,0.0,1.707825127659933,2.9166666666666665,0.9937472151894536,1021471.3333333334,6827251.0,235.0,1582951.639230132,2505735892141.3623,2.5664198172651376,True
True,False,762,553,0.7257217847769029,115,False,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,False,392,207,0.5280612244897959,56,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,968,370,0.3822314049586777,34,False,False,False,False,0,49.84,91.0,13.0,21.586415481346904,465.97333333333336,0.21807741639118702,2.96,17.0,0.0,3.867384990748486,14.956666666666665,2.1438770600347943,2679700.5,10024530.0,84024.0,2460392.0855239276,6053529214508.782,1.2948095993414448,True
True,True,0,237678,237678.0,1596,False,False,True,False,26,,,,,,,,,,,,,,,,,,,True
True,True,741,32632,44.03778677462888,526,False,False,True,False,1,,,,,,,,,,,,,,,,,,,True
True,False,2312,6002647,2596.300605536332,530,False,True,False,False,1,,,,,,,,,,,,,,,,,,,True
True,True,94,172015,1829.9468085106382,490,False,True,True,False,11,3600.12,16573.0,653.0,3580.5482508502337,12820325.77666667,2.59587981309704,123.2,773.0,3.0,187.0893280405557,35002.416666666664,2.5187524210645513,51647.708333333336,132242.0,18897.0,31596.45925055688,998336237.1721014,0.6570903562956273,True
True,True,411,431,1.048661800486618,146,False,False,False,False,4,95.28,130.0,63.0,15.525570306218492,241.04333333333335,0.08066937792936395,1.96,10.0,0.0,2.5409971795865234,6.456666666666666,1.6008315310257624,2246289.125,13296806.0,162580.0,2892549.0910259685,8366840243995.157,2.4337976807006894,True
True,False,912,434,0.4758771929824561,17,False,False,False,False,1,61.588235294117645,103.0,43.0,16.36329285141522,267.75735294117646,0.9567872990609573,1.7647058823529411,5.0,0.0,1.3476559169863187,1.8161764705882353,0.7563049051840485,3180839.6875,22918653.0,843.0,5673596.263101288,32189694556676.9,2.8494167047392147,True
True,True,2779,4632,1.6667866138898884,1031,False,False,False,False,14,570.72,907.0,422.0,106.48846572907946,11339.793333333333,1.5847111268903413,28.72,204.0,4.0,44.29401765475785,1961.96,3.156081322602834,314313.875,768719.0,124913.0,147404.3680213253,21728047711.766304,1.3029982309765975,True
True,False,178,152,0.8539325842696629,22,False,False,False,False,0,40.25,63.0,21.0,11.873426669229284,140.97826086956522,0.09641413039574491,1.8333333333333333,5.0,0.0,1.5227739752537621,2.318840579710145,0.36196350385777865,2291649.652173913,16598647.0,234119.0,3466445.7947214805,12016246447742.236,3.264635704824447,True
True,True,1347,1350,1.0022271714922049,188,False,False,True,False,2,15.8,32.0,4.0,7.788880963698615,60.66666666666667,0.441057205340554,0.12,1.0,0.0,0.33166247903553997,0.11,2.338738328607322,139274.08333333334,607887.0,40.0,184309.2996891524,33969917951.905796,1.0607855304771816,True
True,False,225,128,0.5688888888888889,6,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,1349,2206,1.6352853965900667,394,False,False,True,False,5,223.8,1059.0,81.0,190.30458043182603,36215.833333333336,3.5486756164518023,8.2,33.0,0.0,7.011894655987543,49.16666666666667,1.8375534498069075,488944.8333333333,1360759.0,64689.0,404782.9972645748,163849274874.49277,0.6252119938035935,True
True,False,808,750,0.9282178217821783,78,False,False,False,False,0,59.28,121.0,23.0,24.23585498113625,587.3766666666667,0.6358365841073104,1.52,5.0,0.0,1.2948616399703354,1.6766666666666667,0.836597736179031,3913339.875,10710508.0,205426.0,3372185.4271400566,11371634555015.766,0.5778821873119243,True
True,True,574,2605,4.538327526132404,347,False,False,True,False,0,,,,,,,,,,,,,,,,,,,True
True,True,7501,9233,1.2309025463271563,220,False,False,True,False,7,,,,,,,,,,,,,,,,,,,True
True,True,482,565,1.1721991701244814,1016,False,False,False,False,1,,,,,,,,,,,,,,,,,,,True
True,True,253,505,1.9960474308300395,107,False,False,False,False,1,51.12,92.0,25.0,17.54118962138353,307.6933333333333,0.6764709062821633,1.28,6.0,0.0,1.8823743871327332,3.543333333333333,1.5366815768818585,2891351.625,9185285.0,42470.0,2888966.3969539097,8346126842728.854,0.7797842691948909,True
True,True,1677,1102,0.6571258199165176,153,False,False,False,False,7,,,,,,,,,,,,,,,,,,,True
True,True,655,2814994,4297.700763358778,3099,False,True,False,False,17,180334.44,242201.0,83026.0,38015.62604495683,1445187823.59,-0.6549340527743021,1242.48,4622.0,216.0,1121.2924878609208,1257296.8433333333,1.5737024665856336,25514.0,144293.0,112.0,36364.206824843575,1322355538.0,1.7368592254813044,True
True,False,663,248,0.3740573152337858,68,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,1398,991,0.7088698140200286,525,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,2,100344,50172.0,101,False,True,False,False,0,,,,,,,,,,,,,,,,,,,True
True,True,1505,992469,659.4478405315615,1031,False,True,True,False,8,20583.52,51825.0,6973.0,10695.062533399856,114384362.59333333,1.2283647328104228,161.88,829.0,35.0,153.64605429362643,23607.11,3.431008943258668,252596.91666666666,1465427.0,34680.0,291173.1956961454,84781829891.90579,3.1711858850105035,True
True,True,94,179,1.9042553191489362,14,True,False,False,False,0,,,,,,,,,,,,,,,,,,,True
