profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
True,False,134,107,0.792593,10,False,False,False,False,1,29.6,46,15,9.663218,93.377778,0.054921,1.4,5,0,2.01108,4.044444,1.147354,7873574.777778,17549143,44,6733477.873223,45339724269183.195,0.232433,False
True,False,6770,55,0.008123,1,False,False,False,False,0,19,19,19,NaN,NaN,0,1,1,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,6775,66,0.00974,7,False,False,False,False,0,14.714286,29,10,6.676184,44.571429,1.604023,0.428571,2,0,0.786796,0.619048,1.357727,39.666667,178,8,67.819368,4599.466667,1.782881,False
True,False,6790,63,0.009277,1,False,False,False,False,0,29,29,29,NaN,NaN,0,2,2,2,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,6727,80,0.011891,2,False,False,False,False,0,11,14,8,4.242641,18,0,0,0,0,0,0,0,290,290,290,NaN,NaN,0,False
True,False,1826,23,0.012589,2,False,False,False,False,0,3,5,1,2.828427,8,0,0,0,0,0,0,0,112,112,112,NaN,NaN,0,False
True,True,1710,481,0.281122,17,False,False,False,False,0,39.588235,109,3,34.463856,1187.757353,0.988656,1.647059,9,0,2.760009,7.617647,1.666295,391110.375,5528085,5,1374324.85897,1888768817982.65,3.575911,False
True,False,48,59,1.204082,16,False,False,False,False,0,15.375,18,12,1.668333,2.783333,-0.442052,0.125,1,0,0.341565,0.116667,2.267787,628710.733333,6330510,15,1654185.687456,2736330288582.781,3.001697,False
True,False,6852,66,0.009631,1,False,False,False,False,0,18,18,18,NaN,NaN,0,2,2,2,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,6733,107,0.01589,29,False,False,False,False,0,0.76,6,0,1.392839,1.94,2.421593,0.04,1,0,0.2,0.04,4.694855,25393.583333,520689,4,107029.139457,11455236692.949276,4.397566,False
True,False,2872,39,0.013575,8,False,False,False,False,0,5.875,8,3,1.552648,2.410714,-0.516398,0,0,0,0,0,0,226657.428571,1577957,16,595875.059402,355067086416.95233,2.041127,False
True,True,685,873,1.272595,16,False,False,False,False,0,25.5,71,4,18.736773,351.066667,0.767438,0.125,1,0,0.341565,0.116667,2.267787,60174.666667,373637,10,111147.147029,12353688292.666666,1.826987,False
True,False,5201,40,0.007689,1,False,False,False,False,0,21,21,21,NaN,NaN,0,2,2,2,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,6894,49,0.007107,1,False,False,False,False,0,12,12,12,NaN,NaN,0,2,2,2,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,35,39,1.083333,1,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
